"PO031715_24"	"GEO012315_21"	"NA021015_30"	"YS121316_30"	"JUK07_37.1"	"JB021108_07.1"	"JB021108_48.1"	"BOR07_22"	"GEO020414_9_300"
"X207"	-0.3872	-0.3861	-0.3636	0.0584	0.1589	0.3053	-0.0188	-0.1617	-0.1429
"X20700"	-0.16	-0.0847	-0.1111	0	0	0.363	-0.0204	0	0
"X20703"	0	0	NA	-0.05	0	NA	NA	-0.1351	NA
"X20707"	NA	0	NA	NA	NA	0	-0.0417	-0.0526	NA
"X20709"	-0.12	-0.3099	-0.3084	0.083	0.4654	0.16	-0.0329	0.0656	0.2766
"X2071"	-0.294	-0.1736	0.0323	-0.0769	NA	0.2874	0.2836	-0.1111	0.322
"X20710"	-0.0545	0.2809	-0.0714	-0.0476	-0.0256	0.2465	-0.087	1	0.0221
"X20713"	-0.0741	-0.0667	-0.0345	NA	NA	1	-0.0667	0	-0.0968
"X20715"	-0.1154	-0.0508	NA	NA	-0.0303	0	-0.0345	NA	-0.0556
"X20717"	-0.0175	-0.0159	-0.1538	-0.1282	-0.0667	-0.0196	NA	-0.1053	-0.0857
"X20724"	0.2018	-0.0116	-0.3983	0.0359	0.0698	-0.1503	0.0521	0.3214	-0.1656
"X20725"	-0.037	-0.0169	-0.0345	-0.05	0.4839	0.3407	0.3239	-0.0857	0.4667
"X20727"	-0.0357	-0.0492	0	NA	NA	-0.0164	-0.0204	NA	-0.027
"X20728"	-0.1281	-0.0502	-0.2162	-0.0394	-0.2353	-0.0022	-0.2195	0.0148	0.16
"X20730"	-0.0196	-0.0741	-0.0345	-0.0476	-0.0526	-0.0435	-0.1111	0.3407	0
"X20735"	-0.2308	0.2958	-0.1667	1	0.0286	0.0345	0.3239	-0.0286	-0.1667
"X2074"	-0.1154	0.1146	-0.1111	-0.0244	0.4684	-0.0098	-0.1111	-0.0244	-0.0256
"X20744"	0.1935	-0.0909	0.6486	NA	NA	0.2647	NA	0	0.3333
"X20751"	-0.2083	-0.0741	-0.0769	NA	0	0.4737	-0.1	NA	0
"X20768"	-0.04	-0.0417	-0.2	-0.0256	0	NA	NA	-0.0909	NA
"X20770"	0.0667	-0.2261	-0.3636	0	0.3898	-0.0196	-0.144	-0.2986	-0.5455
"X20773"	NA	0	0	0	0	0	0	NA	0
"X20776"	0.0157	-0.1228	-0.05	-0.2222	-0.1429	0.0279	-0.2195	0.1667	0.25
"X20777"	0.275	-0.0847	0	NA	1	-0.0385	0.0718	NA	-0.0526
"X20779"	-0.0545	-0.0187	-0.2397	0.0043	0.0148	-0.0169	-0.2195	0.1127	0.2364
"X20785"	NA	NA	NA	-0.05	NA	NA	NA	NA	NA
"X2079"	NA	NA	NA	0	0.1667	NA	0	NA	NA
"X20795"	-0.0501	-0.3648	-0.25	-0.0256	-0.1613	0.0909	-0.2	-0.1515	-0.3846
"X20810"	-0.4	-0.3386	-0.1345	-0.0678	-0.0471	0.2619	-0.3934	0.1064	-0.2938
"X20811"	0	NA	0	-0.05	NA	NA	NA	0	NA
"X20818"	0.4141	-0.0146	-0.3043	-0.3793	0.0345	0.185	-0.0896	-0.1875	-0.1168
"X2082"	-0.0833	-0.16	-0.1818	0.3437	0	0.1018	-0.0455	-0.1053	-0.0811
"X20821"	0.1018	-0.1736	-0.1538	-0.1892	0.1509	0.049	-0.1905	-0.2353	0.2453
"X20822"	-0.2055	-0.3208	-0.3043	0.2	-0.0329	-0.0821	-0.1364	0.1667	0.083
"X20829"	0	0	NA	-0.0233	0.2453	NA	NA	0	NA
"X20832"	-0.0741	0	0	0	0	NA	NA	NA	NA
"X20835"	-0.0741	-0.1923	-0.1111	NA	NA	-0.0556	0.2195	NA	-0.0556
"X20836"	NA	-0.0164	-0.1111	-0.0909	0.6211	0	0	0.7816	1
"X20845"	-0.0566	-0.1064	0.4767	-0.3069	-0.0857	0.4648	0.4839	-0.44	-0.0286
"X20854"	-0.1803	-0.1537	0.0164	-0.6364	0.1589	0.2696	-0.2397	-0.4085	-0.1053
"X20855"	-0.0545	0.0944	-0.1321	-0.0734	-0.25	0.3363	-0.0633	-0.1613	-0.0256
"X20856"	-0.0741	-0.0667	0	0.25	-0.2727	0.1064	-0.0204	-0.0811	0.088
"X20857"	NA	NA	NA	NA	-0.0556	NA	NA	NA	NA
"X2086"	-0.1837	-0.234	0	0	-0.0345	0.0789	0.2615	0	-0.0303
"X20860"	NA	NA	NA	NA	NA	-0.0417	0	NA	NA
"X20861"	-0.0175	-0.0667	0.3182	-0.1176	-0.037	-0.0357	-0.0213	0.3066	-0.027
"X20867"	-0.0943	-0.1034	-0.1111	-0.1	-0.1351	0.7209	-0.087	0.0345	-0.1351
"X20869"	-0.0691	-0.2955	-0.3043	0.16	0.3301	0.3886	-0.2195	0.0406	-0.1429
"X20870"	-0.0182	0	-0.0345	-0.0323	-0.0286	0	0	0	NA
"X20872"	NA	0	NA	0	0	NA	NA	-0.05	NA
"X20873"	NA	NA	NA	0	NA	0	-0.0222	0	-0.0667
"X2088"	0.2727	-0.1852	-0.0714	1	-0.05	-0.037	0.6575	-0.0588	-0.1765
"X20883"	0.2632	-0.1272	0.1724	0.6211	NA	0.121	0.2455	0.8333	0.8219
"X20887"	0	-0.0323	-0.0345	-0.0526	0	-0.0566	-0.0233	NA	-0.027
"X20894"	-0.2609	0.0545	0.1176	-0.1667	-0.0303	0.262	-0.2	0.2453	0.3289
"X20895"	-0.2055	-0.426	-0.2397	-0.0233	0.1818	-0.1881	0.0625	-0.0773	0.1628
"X20900"	0.0569	-0.1429	-0.0714	NA	0	-0.1489	-0.0732	0	-0.2
"X20901"	0.4775	-0.0667	-0.1538	0	-0.25	-0.0741	0.1935	-0.0769	-0.0256
"X20916"	0.4369	-0.0667	0	0.2542	-0.0256	-0.0833	-0.027	-0.0286	-0.0556
"X20925"	0	0	NA	-0.0811	-0.1111	0	NA	-0.0556	NA
"X2093"	-0.0175	0.1146	0	NA	0	-0.1579	0.2273	NA	0.7805
"X20933"	-0.3872	-0.1013	-0.0345	-0.3397	0.2544	-0.3077	-0.123	-0.1881	0.0588
"X20934"	-0.2055	-0.0323	0.0323	0.0455	0.1127	0.4563	-0.0312	-0.1429	0.131
"X20935"	0	-0.0164	NA	NA	NA	NA	NA	NA	-0.0256
"X20947"	0	-0.0667	0	-0.1053	0.4684	NA	NA	0	0
"X20950"	-0.0741	-0.1429	-0.1111	-0.2941	0.0406	-0.1481	0.1329	-0.3548	-0.1351
"X20954"	-0.0821	-0.1327	-0.3043	-0.5172	0.0148	0.0035	-0.0586	-0.2727	0.1474
"X20955"	-0.0175	NA	-0.0345	-0.1111	0	NA	NA	-0.027	NA
"X2096"	-0.0175	-0.1034	-0.3636	-0.0244	-0.027	-0.0714	-0.0667	-0.0526	0.6557
"X20968"	-0.1387	0.0718	-0.2222	-0.2	0.1579	0.4603	0.1304	0.2273	0.3182
"X20973"	-0.2609	-0.2075	-0.05	-0.1055	-0.0794	-0.2456	0.0283	-0.0678	-0.28
"X20979"	-0.0633	-0.2772	0.0323	0.1139	-0.0244	-0.0814	0.0291	-0.1617	0.0079
"X20980"	0.1168	-0.0254	-0.2	0.2542	-0.1043	0.2632	0.0283	-0.1176	0.1589
"X20983"	NA	0	NA	NA	NA	NA	0.6557	NA	NA
"X20992"	-0.1492	-0.1537	-0.4286	-0.1765	-0.1215	0.1692	-0.2321	-0.2667	-0.0828
"X20996"	0.1844	0.622	0.4468	0	0.25	0.2012	0.3407	0.8182	0.3818
"X20999"	-0.3023	0.3364	0.1532	0.3968	0.3191	0.0068	0.1071	0.1579	0.2965
"X2100"	0.3603	-0.1429	-0.0345	NA	NA	-0.0333	-0.0204	0	-0.1351
"X21002"	-0.2889	-0.242	-0.3043	-0.3253	-0.156	0.0151	0.0656	0.2245	0.2245
"X21005"	-0.1013	-0.2318	-0.3043	-0.0843	0.2273	0.2772	-0.1667	-0.2611	-0.2414
"X21006"	0.2368	0.2132	-0.1538	0.1667	0.2117	0.1429	-0.15	0.3949	0.7805
"X2101"	0.6579	-0.0508	0	NA	NA	0	-0.0323	NA	0
"X21014"	-0.2444	-0.1327	-0.3043	0.12	0.5422	0.0854	0.064	0.0977	-0.2294
"X21015"	-0.0741	-0.0877	-0.0714	-0.05	0	-0.0526	0.2195	-0.027	-0.1515
"X21018"	-0.2541	-0.1193	-0.1321	0.0359	-0.016	-0.2	-0.3889	-0.2621	-0.0678
"X21021"	0.2018	-0.3191	-0.0345	-0.4218	0.1818	0.3488	0.131	0.1231	-0.0411
"X21025"	0.0122	-0.3778	-0.3636	-0.2353	0.2245	-0.2121	0	0.0732	-0.2121
"X21026"	0	NA	NA	NA	0	NA	NA	0	NA
"X21028"	0.1643	-0.1636	-0.3043	-0.2	0.1667	0.1948	-0.1706	-0.1429	0.0732
"X21029"	NA	0	-0.0345	-0.0233	-0.0286	NA	NA	NA	NA
"X21033"	-0.2151	-0.1636	0.0323	0.1127	-0.1429	-0.0473	-0.0286	-0.0256	0.2117
"X21035"	-0.1837	-0.0877	-0.0714	0	NA	0.24	-0.0667	0	-0.1053
"X21043"	-0.0943	-0.1034	-0.0345	-0.0476	-0.1429	0.2077	-0.0435	-0.0769	0.4576
"X21046"	-0.0545	-0.0323	-0.0345	-0.0233	NA	NA	0	0	0
"X21050"	-0.1154	-0.0031	-0.1538	-0.0233	NA	0.3939	-0.1163	0	0.4684
"X21060"	-0.037	-0.069	-0.0345	-0.0244	-0.0556	-0.0545	0	NA	0.4667
"X21068"	0.2464	-0.3889	0.1892	-0.05	NA	-0.104	0.2	-0.0909	-0.28
"X21071"	0	NA	NA	NA	-0.0769	0	NA	0	0
"X21078"	-0.1837	-0.1064	-0.25	-0.3333	-0.0286	0.3455	0.3465	0.24	0.0977
"X2108"	NA	NA	NA	0	-0.1176	NA	NA	0	NA
"X21083"	-0.234	-0.1736	0	-0.0769	-0.0286	-0.1768	-0.0286	-0.0256	0.3333
"X21084"	0	-0.1429	0.2105	0	0.4865	-0.04	0.2542	-0.0526	-0.0526
"X21096"	0	-0.0492	NA	-0.1	-0.05	NA	NA	-0.1111	0
"X21103"	-0.0741	-0.0492	0	NA	0	-0.08	-0.05	-0.0526	-0.0588
"X21104"	NA	NA	NA	0.4516	NA	NA	NA	0.6211	NA
"X2112"	-0.1154	-0.0383	-0.1111	-0.1053	-0.027	-0.0741	-0.1707	0.2453	-0.2727
"X21122"	-0.0272	-0.3171	-0.3636	0	0.2273	-0.1519	-0.0532	-0.1613	-0.1429
"X21127"	NA	NA	NA	NA	0.3372	NA	NA	0	NA
"X21132"	0.4659	-0.0473	-0.1064	0.1316	0.4654	0.4148	0.0464	0.1231	0.1845
"X21135"	-0.44	-0.2093	0.3115	-0.0253	0.0769	0.24	0.2105	0.0221	-0.012
"X21138"	-0.0545	0.3642	-0.2	-0.0732	-0.1429	NA	NA	0.0345	NA
"X21140"	0	NA	-0.037	-0.0857	-0.0526	NA	NA	-0.0588	NA
"X21141"	0.1831	-0.0031	-0.0345	0.3437	0.4576	-0.2195	0.0552	0.2453	0.6538
"X21142"	-0.2174	-0.1852	-0.25	0.2357	-0.0588	0.3514	-0.1111	-0.0256	0.088
"X21147"	-0.0545	-0.0667	-0.1538	-0.1053	-0.05	0.4737	-0.0455	-0.027	0
"X2115"	0.6588	-0.0175	0.6512	-0.2121	-0.0303	-0.0256	NA	-0.0909	NA
"X21153"	-0.0741	-0.0667	NA	0	-0.0556	-0.0169	-0.0952	NA	0
"X21171"	-0.1492	-0.0323	-0.25	0.1617	0.0345	-0.0691	-0.2632	-0.0256	-0.0329
"X21173"	-0.125	0.1107	-0.1304	0.7484	0.625	-0.0213	0.1791	0.2969	0.8317
"X21178"	0	-0.0164	NA	0.4684	0.6557	0	0	NA	NA
"X21187"	-0.0058	-0.2075	-0.3636	0	0.0732	0.0968	-0.1905	-0.1215	0.0217
"X21192"	0.1884	-0.2261	-0.0976	-0.2242	-0.1053	-0.0407	-0.2456	-0.1215	-0.0628
"X21193"	0.0471	-0.1923	0.2105	-0.0041	0.6545	0.1014	-0.1396	-0.1617	0.131
"X21199"	NA	NA	NA	NA	0.3333	0	NA	NA	NA
"X21205"	0	-0.0169	0	NA	-0.027	NA	0	0.6545	NA
"X21206"	0	NA	NA	0	-0.0244	NA	NA	NA	NA
"X2121"	-0.1154	-0.0667	-0.0714	0.1845	0.1742	-0.1739	-0.0417	-0.2022	-0.0769
"X2122"	NA	NA	NA	0.6557	NA	NA	NA	NA	NA
"X21221"	0	-0.1481	-0.0345	-0.0526	0	0.6571	-0.0233	-0.0556	-0.0667
"X21225"	0	-0.0612	NA	-0.027	0	-0.0588	-0.0714	0	-0.0256
"X21226"	-0.2273	-0.28	-0.0714	-0.1667	-0.2258	-0.1373	-0.0417	-0.0244	-0.0556
"X21228"	-0.0175	0	NA	NA	NA	0.6588	0	NA	-0.0244
"X21231"	NA	-0.1034	-0.1538	-0.0811	-0.1429	0	-0.0233	-0.05	NA
"X21234"	-0.1837	0.0508	0.0323	0.1506	0.3913	-0.296	0.2385	-0.1429	0.1346
"X2124"	NA	0	0	-0.1111	NA	-0.0169	NA	0	-0.0303
"X21240"	-0.1154	-0.0847	-0.1321	0.1047	0.3824	0	0.5676	0.069	NA
"X21250"	NA	-0.0159	0	-0.05	-0.0256	NA	NA	-0.1111	0
"X21253"	-0.2874	-0.2261	0.2308	-0.0312	-0.3397	0.1541	0.1028	-0.215	-0.1043
"X21254"	-0.1546	-0.4222	-0.4286	0.0359	0.2025	-0.0508	0.2063	0.1064	0.2357
"X21256"	-0.1154	-0.1034	0	-0.1053	0	0	-0.0345	-0.125	-0.1875
"X21257"	-0.0633	-0.2308	-0.1111	-0.1579	-0.0556	0.058	0.1892	-0.05	-0.0256
"X21259"	0	0	0	NA	NA	NA	NA	-0.1351	NA
"X21272"	-0.0943	-0.0323	-0.2	0.1732	-0.2	-0.0345	-0.0638	-0.25	-0.0244
"X21278"	-0.1111	-0.0417	0.4468	NA	0	-0.0286	-0.0667	-0.0588	-0.2222
"X21279"	-0.0175	-0.1034	NA	-0.0244	-0.0256	-0.0333	-0.0204	NA	0
"X21280"	-0.0545	-0.0159	-0.1111	-0.1351	0.2453	0.4737	-0.0244	-0.0526	NA
"X21283"	-0.0545	-0.0159	NA	NA	NA	-0.0169	-0.0952	NA	NA
"X21288"	-0.0357	-0.0323	NA	-0.0233	-0.0303	-0.0385	-0.0213	0	NA
"X2129"	-0.0545	-0.1481	-0.0345	-0.0233	0.3437	-0.1163	-0.0769	-0.0526	-0.1111
"X21294"	0.6567	-0.0196	-0.0435	-0.0233	-0.027	NA	-0.0714	-0.0556	0.6545
"X21295"	-0.0357	-0.0333	-0.0714	NA	0	NA	NA	-0.0556	NA
"X21296"	0.1512	-0.0667	-0.0714	0	-0.0526	-0.1321	-0.1163	0.403	-0.0256
"X213"	0	-0.0667	NA	-0.0476	NA	-0.0164	-0.0213	-0.1053	0
"X21301"	-0.0633	-0.0146	0.0625	-0.1667	-0.2903	0.0217	-0.1707	-0.0256	-0.2258
"X21309"	0.3052	-0.5564	0.2574	-0.2121	0.1593	0.2018	0.2366	-0.1176	0.3757
"X21315"	-0.0643	-0.1111	0.2105	-0.1176	0.4576	NA	0.0118	-0.0411	0.2267
"X21316"	0.0392	0.2077	-0.0769	-0.123	0.0894	-0.0476	-0.0345	0.0221	-0.0588
"X21332"	0.1253	0.0937	0.0323	0.3968	0.3115	0.0061	0.1373	0.5041	-0.0968
"X21333"	NA	NA	NA	-0.0476	NA	NA	0	NA	NA
"X21338"	NA	-0.0164	NA	0	0	NA	NA	-0.0556	NA
"X21341"	-0.037	-0.0821	0.1589	-0.2511	0.5696	0.4366	0.4654	0.1231	0.1942
"X21343"	0.4737	0.2314	-0.12	-0.0476	0.1849	0.4953	0.2195	1	0.575
"X21349"	NA	NA	0	0	-0.0769	0	0	NA	NA
"X21352"	NA	NA	NA	-0.1515	NA	NA	NA	-0.027	NA
"X21355"	-0.2383	-0.3462	0.1613	0.083	0.0221	0.4366	0.0894	0.3073	-0.1
"X21358"	-0.1032	0.2941	0.617	-0.0628	0.2772	-0.1862	0.0582	0.3455	-0.0843
"X21367"	NA	NA	NA	NA	NA	0	NA	-0.0303	NA
"X21370"	0.1018	-0.2075	-0.3043	-0.0714	-0.0625	0.0718	-0.1	-0.1724	-0.0625
"X21380"	0	-0.1862	0.1026	0.2075	0.1414	0.2658	0.2813	0.3372	0.1969
"X21384"	0.0151	-0.1228	-0.0345	0.0552	0.088	0.1512	0.1892	-0.1351	NA
"X21388"	-0.0943	-0.0847	-0.0714	-0.0233	-0.0556	-0.1489	0.632	NA	0
"X21391"	-0.234	0.0545	-0.2162	0.2157	-0.1724	0.1693	-0.1468	0.2165	0.0079
"X21395"	-0.1837	0.1107	-0.2	-0.1429	0.234	0.4648	0.451	-0.2	-0.0588
"X21397"	-0.2679	-0.3478	0.1034	-0.12	-0.2308	-0.28	-0.05	-0.2	-0.3333
"X21402"	0	-0.0508	-0.1538	-0.0857	-0.0667	-0.098	0	-0.1765	0
"X21403"	0	0	-0.0345	-0.0233	-0.1875	-0.0508	-0.0909	NA	0
"X21407"	0.3514	-0.0357	0	-0.0476	0	-0.04	0	0	NA
"X21415"	-0.3426	-0.2749	0.134	-0.0628	0.3455	0.1628	0.0588	-0.016	0.0286
"X21416"	0	0.479	0.6512	-0.027	0	-0.0182	-0.0417	NA	-0.027
"X21419"	NA	0	0	-0.0286	-0.0556	NA	NA	-0.0286	-0.0244
"X2142"	-0.2889	-0.1399	0.1176	-0.25	-0.2414	0.0283	0.0221	-0.2264	0.2273
"X21426"	-0.0545	-0.1407	-0.6116	0.2903	0.0043	-0.3659	0.0181	0.0043	0.1392
"X21435"	0.1562	0.049	0.3182	-0.0896	0.4937	0.0079	0.2993	-0.016	0.5663
"X21436"	NA	NA	NA	-0.0233	-0.0556	NA	NA	0	NA
"X21437"	-0.0545	-0.0492	NA	NA	-0.027	-0.0175	-0.0909	NA	1
"X21442"	-0.3744	-0.3884	-0.5789	0.2	0.0406	-0.1481	-0.0638	-0.2938	0.3301
"X21444"	-0.1519	-0.1724	-0.1321	0.3663	0.0977	-0.3143	-0.2667	-0.1032	-0.0471
"X21453"	NA	-0.0508	-0.0714	NA	NA	-0.0164	-0.0213	NA	0
"X21454"	-0.2786	-0.1024	-0.2727	0.3503	0.3802	0.0933	0.1628	0.0323	0.4783
"X21468"	-0.1556	-0.1089	-0.0435	-0.123	0.0221	0.2581	-0.0678	-0.2857	-0.3043
"X21471"	-0.0247	-0.28	0.6104	-0.2	-0.2353	-0.2245	-0.1429	-0.2121	0.2117
"X21476"	-0.0357	NA	-0.0345	-0.0244	NA	-0.0164	-0.0417	0.6262	0
"X21480"	-0.0943	-0.3061	-0.25	-0.1892	-0.0526	0.1107	0.3455	0.1742	0.1474
"X21485"	NA	-0.0244	NA	NA	0.4603	-0.027	1	NA	0
"X21486"	-0.234	-0.1327	0.2574	-0.1917	-0.0909	-0.4146	0.0291	0.0411	0.2273
"X21493"	NA	NA	-0.0345	NA	1	NA	NA	-0.0526	NA
"X21501"	-0.1768	-0.2772	0.1176	-0.2174	-0.2952	-0.3953	-0.3514	-0.3548	-0.3793
"X21503"	-0.102	0	-0.0345	0	NA	NA	-0.027	NA	0
"X21506"	NA	NA	NA	NA	0.4648	NA	NA	NA	NA
"X21510"	-0.0175	-0.0667	-0.0714	-0.1053	0	-0.0526	0.4217	-0.0256	-0.125
"X21513"	-0.1837	-0.1636	-0.25	0.0455	0	-0.16	-0.1707	-0.125	0.1593
"X21516"	NA	NA	NA	-0.05	NA	NA	NA	0	NA
"X21523"	-0.0769	-0.0667	-0.0345	NA	0	-0.0233	-0.0476	NA	0
"X21528"	-0.0943	-0.3884	-0.2195	0.0521	0.4624	-0.1468	-0.1875	-0.0773	0.1064
"X21535"	-0.0741	0.3034	-0.0714	0.24	-0.0526	0	-0.0323	-0.0909	-0.0588
"X21538"	0.4955	-0.0726	-0.0345	-0.0532	0.1064	0.2419	0.2615	0.1064	-0.3571
"X21539"	-0.2174	-0.3333	-0.1538	-0.2941	-0.1	-0.1111	-0.0638	-0.2667	-0.0811
"X21547"	NA	NA	-0.0345	-0.0732	0.4684	NA	NA	-0.0526	NA
"X21548"	-0.234	-0.1429	-0.05	0	-0.0678	-0.25	-0.1628	-0.2903	-0.2353
"X21549"	-0.0182	NA	NA	-0.0476	NA	NA	-0.0204	-0.0256	NA
"X21552"	0	NA	-0.0345	-0.2727	-0.0256	NA	NA	-0.1176	NA
"X2156"	0	NA	NA	-0.05	0.4648	NA	0	NA	NA
"X21564"	0	NA	0	-0.0769	NA	NA	NA	0	NA
"X21568"	-0.2667	-0.1333	-0.0588	0.4576	0.4603	-0.1429	-0.0678	-0.1333	0
"X21573"	-0.234	-0.1852	-0.0714	-0.2941	0.2969	0.1381	-0.2432	-0.123	-0.125
"X21579"	-0.0189	0	NA	0	0.4627	NA	NA	NA	NA
"X21584"	-0.0833	-0.046	0.4545	0.1852	-0.0909	0.5041	-0.0968	-0.1429	-0.1724
"X21595"	-0.04	0	-0.0476	0.2453	-0.0588	0	-0.0667	-0.027	0
"X21601"	NA	0	0	NA	-0.027	-0.0164	0	NA	0
"X21603"	-0.0769	-0.0814	0.4545	0.2542	-0.3846	-0.0435	-0.0811	-0.1484	-0.2258
"X21608"	-0.1154	-0.0667	-0.2	-0.1892	0	-0.0526	0.4737	0.1064	-0.0256
"X21612"	NA	NA	NA	-0.0526	0	NA	NA	NA	NA
"X2162"	NA	-0.0159	-0.0345	-0.0476	-0.027	NA	NA	0.3437	NA
"X21623"	-0.0175	-0.0847	NA	-0.3548	0.2357	-0.0175	-0.0435	-0.0244	-0.1034
"X21634"	-0.2083	-0.3617	-0.25	-0.1579	-0.0678	-0.1481	-0.1905	-0.1351	-0.2
"X21639"	-0.0222	NA	-0.0833	0	-0.1852	NA	NA	1	NA
"X2164"	-0.0175	NA	0	NA	-0.05	NA	NA	NA	NA
"X21647"	-0.2683	-0.1923	0.1026	-0.1351	0.3091	0.2863	-0.2	-0.2	0.1509
"X2165"	-0.1768	-0.1138	0.0164	-0.0329	0.3898	0.0521	-0.1803	-0.2258	0.3949
"X21652"	NA	NA	NA	0	NA	NA	0	-0.0811	0
"X21654"	-0.0357	-0.0159	-0.0714	-0.2571	-0.1053	-0.0164	0	-0.0769	NA
"X2167"	-0.0357	-0.0159	0	-0.0476	0	0	0	NA	-0.1053
"X21673"	0.1002	-0.1724	0.1176	-0.25	0.5814	0.2	0.3275	0.403	-0.0085
"X21675"	-0.1013	-0.1002	-0.3636	-0.1351	NA	-0.0085	0.2105	0.0079	0.088
"X21676"	-0.0545	-0.0098	-0.037	NA	-0.0256	-0.0189	-0.0233	0	0.0642
"X21680"	0.1512	-0.2075	-0.2	0.12	-0.0411	-0.1273	-0.1707	-0.2353	-0.0811
"X21681"	NA	NA	NA	NA	-0.0256	NA	NA	NA	NA
"X21685"	-0.234	-0.1273	-0.2174	-0.3397	-0.1176	-0.1176	-0.0323	0.0079	0.6531
"X21686"	0.2701	-0.3139	-0.1324	-0.1168	-0.0588	-0.0244	-0.1917	0.1064	0.1532
"X21689"	NA	NA	NA	0	-0.0556	NA	NA	NA	NA
"X21692"	-0.1013	0.1086	-0.3043	-0.1176	-0.0286	0.2674	-0.25	-0.1765	-0.3333
"X21693"	0.037	-0.1002	0.2857	0.4865	0.2593	0.4177	0.0769	-0.1111	0.4603
"X21694"	-0.0732	0.0968	0.3182	-0.027	0.4627	-0.0811	0.0323	1	-0.2308
"X21695"	-0.1013	-0.1163	0.1589	-0.1053	0.2273	0.3066	-0.3043	0.5	0.0656
"X21697"	-0.0058	-0.1736	0.1176	0.1732	-0.0556	0.058	-0.0181	-0.0811	0.403
"X21700"	-0.0501	-0.2549	0.0323	-0.1579	0.2432	-0.0058	-0.3158	-0.0678	0.3151
"X21702"	NA	NA	NA	NA	-0.0323	0	0	NA	NA
"X21703"	-0.0633	-0.2075	-0.1111	-0.0476	0.5	-0.1481	-0.1429	0.0455	-0.1875
"X21708"	-0.234	-0.1034	-0.0345	0.6557	0.088	0.0442	-0.0952	-0.1111	-0.1176
"X21713"	0.1831	0.0663	-0.1111	0	0.088	0.058	-0.1429	-0.1111	0.3818
"X21715"	-0.1317	-0.4611	-0.2397	-0.1053	-0.1314	0.0698	-0.2662	-0.3069	-0.2952
"X21717"	-0.1013	0.0549	-0.1321	-0.016	0.4218	-0.046	0.2366	0.1915	-0.0843
"X2172"	0.1512	-0.0847	1	NA	NA	-0.0345	-0.0638	NA	-0.0857
"X21720"	0	NA	0	-0.0811	-0.0811	NA	NA	NA	NA
"X21723"	0	-0.0323	NA	0	0.1593	0	NA	0	NA
"X21728"	-0.0943	-0.428	-0.0345	-0.0046	0.0909	-0.0169	-0.0827	-0.2903	0.0656
"X21733"	-0.2195	-0.0741	-0.25	-0.1656	-0.3913	-0.2571	-0.2	-0.1656	-0.0323
"X21738"	0.2077	-0.1034	-0.1538	-0.1053	0.3333	-0.0164	-0.1364	-0.0811	-0.027
"X21739"	0.0122	-0.0502	-0.2	0.12	0.2357	-0.1233	-0.011	-0.2	0.0406
"X21746"	-0.0545	-0.0492	-0.1111	-0.0476	0.131	-0.0566	-0.0435	-0.0256	NA
"X21748"	0.2704	0.1468	0.2105	0.1732	-0.0244	0.2077	0.1273	0.2453	0.2453
"X21749"	0.4775	-0.0175	NA	NA	NA	-0.0189	NA	1	NA
"X21751"	NA	NA	0	0.6303	0.3333	NA	NA	0	0
"X21756"	-0.0357	NA	NA	0	-0.0244	-0.0169	-0.1111	-0.0526	NA
"X21757"	0.1018	-0.1636	0.125	-0.1579	-0.0588	-0.2	0.2245	-0.1429	-0.1032
"X21765"	-0.0839	-0.0256	-0.1765	-0.0857	0.2308	0.3818	-0.2632	-0.2593	0.5
"X21766"	-0.1154	-0.1636	-0.1111	-0.2727	0.1474	-0.16	0.4737	0.0148	-0.0588
"X21767"	NA	NA	NA	0	0	-0.0385	0	-0.0526	0
"X21770"	-0.0175	-0.0159	0	NA	0	-0.0323	-0.037	-0.0303	0.4627
"X21772"	-0.234	-0.1896	-0.3525	-0.0628	0.1628	-0.1126	-0.0762	0.0698	0.3091
"X21777"	-0.1837	-0.242	-0.3983	-0.0678	-0.2022	-0.0473	-0.3889	0.4545	-0.3125
"X21779"	0.275	-0.1034	NA	NA	-0.0526	0	-0.0638	NA	0
"X21780"	0.0392	-0.1064	0.0625	0.24	0.1845	0.3278	-0.2195	0.403	0.0455
"X21782"	-0.0175	-0.0159	-0.0345	0	NA	NA	NA	0	NA
"X21784"	-0.0566	-0.1071	0	-0.05	-0.0625	-0.0698	0.6562	0	-0.0256
"X21785"	0	0	0	NA	-0.1176	-0.0526	NA	0	NA
"X21788"	-0.0643	-0.4121	-0.5	-0.0233	-0.1515	-0.3435	-0.26	0.1915	0.322
"X21790"	0.2674	0.3115	-0.1304	-0.0244	0.8361	0.0508	0.3131	0.3333	0.24
"X21792"	-0.0741	0.2791	-0.0714	-0.027	-0.0526	0.4699	0.4627	0.403	-0.0244
"X21795"	-0.0545	-0.3099	-0.2162	0.0411	0.2165	-0.1043	-0.5294	0.1461	-0.1168
"X21798"	-0.0839	0.1018	-0.2727	0.0841	0.3115	-0.1176	-0.037	0.1532	-0.1034
"X2180"	-0.1387	-0.2955	-0.5	-0.0732	-0.2511	0.0646	-0.3237	-0.0329	0.0698
"X21800"	NA	0	NA	-0.0476	NA	0	NA	-0.1176	NA
"X21809"	-0.2151	-0.1327	-0.1538	0.0359	-0.2632	-0.0925	0.1694	0.3333	0.0217
"X21810"	NA	-0.0323	0	NA	NA	-0.0213	0	NA	NA
