Locus,Scaffold,Start_bp,MQ,
10730,LG05,6974021,40,
10734,LG19,17066646,24,
10743,LG18,1753151,40,
10752,LG10,22122129,42,
10753,LG05,10639553,42,
10771,LG14,22306772,42,
10774,LG05,5179584,42,
10783,LG18,8305419,42,
10786,LG13,23508155,42,
10800,LG03,12313620,42,
10801,LG08,8581959,42,
10807,LG10,19408805,40,
10817,LG16,26941547,42,
10822,LG05,18063924,42,
10823,LG13,20413663,40,
10824,LG17,4396550,24,
10831,LG03,25703286,31,YT:Z:UU
10832,LG09,17416665,42,
10834,LG10,22994901,24,
10843,LG07,27362567,42,
10858,LG05,20436313,42,
10862,LG09,16940394,40,
10875,LG09,23570661,23,
10877,LG23,7329823,24,
10885,LG06,3225916,24,
10888,LG13,21387914,40,
10891,LG07,7734876,42,
10895,LG14,16459039,42,
10897,LG14,6031648,23,
10898,LG16,11625706,40,
10904,LG04,19204065,40,
10914,LG12,22797373,42,
10917,LG13,19856292,42,
10921,LG08,7044519,40,
10923,LG23,15000698,42,
10926,LG20,3439625,42,
10927,LG09,12564227,42,
10931,LG21,2892256,42,
10932,LG21,11120561,40,
10937,LG02,17972205,40,
10941,LG09,2687862,23,
10942,LG13,8703049,23,
10949,LG21,18267112,40,
10953,LG21,12432051,40,
10967,LG02,4112691,40,
10970,LG09,12988378,23,
10975,LG12,4301952,42,
10980,LG03,6913775,42,
10997,LG23,17114594,42,
10998,LG17,15326186,42,
11001,LG04,2500822,42,
11012,LG21,9828239,40,
11015,LG14,18914944,40,
11016,LG19,20346568,24,
11022,LG12,10355882,42,
11038,LG03,22091321,24,
11039,LG02,7657579,42,
11045,LG21,20347893,40,
11047,LG15,19590962,42,
11048,LG12,4735831,42,
11055,LG06,20300366,40,
11060,LG01,5957030,42,
11061,LG08,25535910,40,
11062,LG08,9641230,42,
11063,LG22,6099808,23,
11066,LG07,27267069,42,
11080,LG08,17026876,42,
11082,LG18,13594708,24,
11097,LG01,4662549,40,
11099,LG20,6695599,23,
11107,LG14,8514447,24,
11114,LG18,7277628,42,
11129,LG22,4116742,24,
11131,LG03,11630389,23,
11138,LG01,24916685,40,
11139,LG04,27350459,42,
11145,LG15,10839727,24,
11152,LG13,5395284,42,
11155,LG18,21996034,24,
11156,LG03,14064088,42,
11157,LG18,16425985,40,
11159,LG07,22421050,42,
11160,LG15,5460078,42,
11163,LG01,24263046,42,
11164,LG15,4956975,42,
11165,LG12,24036984,40,
11166,LG02,23317826,42,
11167,LG19,14572223,23,
11168,LG05,3589570,40,
11173,LG11,25213272,42,
11177,LG10,13428847,25,YT:Z:UU
11184,LG23,9068248,42,
11190,LG12,18750127,40,
11193,LG11,27770790,42,
11200,LG10,22546739,23,
11201,LG02,22626363,24,
11203,LG10,12653334,24,
11209,LG15,14987455,42,
11214,LG11,24790922,40,
11219,LG06,6489717,42,
11222,LG07,28941888,42,
11223,LG16,14983891,42,
11229,LG17,7545964,42,
11230,LG17,10579150,42,
11233,LG16,26941687,40,
11236,LG20,23814151,24,
11249,LG19,14333323,42,
11253,LG09,12029420,42,
11262,LG08,19567959,40,
11265,LG20,677004,42,
11275,LG02,22010814,42,
11276,LG09,5721242,40,
11285,LG23,1607896,23,
11286,LG23,8001664,42,
11292,LG11,10301644,42,
11294,LG09,24432242,42,
11299,LG16,17476323,42,
11304,LG04,14858997,40,
11315,LG01,12864620,42,
11318,LG02,5982563,42,
11319,LG06,6786952,42,
11320,LG19,7169297,40,
11325,GmG20150304_scaffold_4437,17544,42,
11328,LG17,10958399,24,
11331,LG23,9980757,42,
11342,LG19,20003266,40,
11345,LG13,12652576,23,
11347,LG09,8580099,42,
11354,LG15,13783486,42,
11356,LG22,12595324,42,
11362,LG05,21266493,24,
11366,LG20,1235400,24,
11367,LG01,14052739,42,
11368,LG16,10176756,42,
11373,LG05,22040327,42,
11377,LG07,13263903,42,
11383,LG19,9627656,42,
11389,LG06,16479837,42,
11394,LG05,17317386,24,
11397,LG23,18628873,16,YT:Z:UU
11405,LG14,22297954,23,
11415,LG07,9519203,42,
11416,LG23,14775575,40,
11417,LG04,4067370,40,
11421,LG01,11239377,42,
11423,LG07,21989855,40,
11437,LG18,9028173,40,
11449,LG14,8195740,42,
11459,LG12,25684660,42,
11469,LG07,8208238,40,
11480,LG07,2165538,40,
11484,LG05,2972790,24,
11489,LG20,17751593,40,
11494,LG16,8907544,42,
11497,LG17,14053010,23,
11498,LG09,11140996,42,
11505,LG04,28619380,16,YT:Z:UU
11506,LG09,8816801,42,
11507,LG19,17851603,23,
11510,LG07,24334636,40,
11517,LG14,17204195,42,
11531,LG03,18814747,40,
11535,LG11,4076367,40,
11536,LG07,25941514,40,
11537,LG10,13650261,40,
11539,LG20,23418603,24,
11542,LG09,24563732,11,YT:Z:UU
11543,LG10,7698846,40,
11545,LG10,16877011,23,
11549,LG16,16177834,42,
11557,LG12,8877303,42,
11560,LG10,22004313,42,
11568,LG07,28876203,40,
11579,LG19,13680677,42,
11591,LG19,20501441,42,
11593,LG09,13180965,40,
11600,LG18,22543375,42,
11602,LG10,2256027,24,
11605,LG07,27663525,42,
11610,LG18,17646623,24,
11626,LG22,2477356,42,
11636,LG01,12131967,23,
11639,LG13,8744782,40,
11644,LG02,17174639,42,
11646,LG01,15477948,42,
11655,LG22,20310656,24,
11658,LG17,15725926,42,
11661,LG09,12286141,42,
11662,GmG20150304_scaffold_7973,142070,21,YT:Z:UU
11667,LG16,14537248,23,
11677,LG13,9576489,42,
11680,LG11,13972765,42,
11688,LG13,9137219,40,
11693,LG21,21822566,40,
11696,GmG20150304_scaffold_7969,125234,42,
11698,LG17,4393620,40,
11708,LG08,10042991,23,
11712,LG19,9420798,42,
11713,LG06,20237504,40,
11714,LG15,23757783,40,
11719,LG06,7259625,40,
11726,LG01,19122718,40,
11727,LG13,13895656,40,
11731,LG03,25954222,42,
11742,LG12,18017471,42,
11750,LG13,20617173,40,
11751,LG11,599280,42,
11752,LG13,414928,42,
11759,LG11,18942558,24,
11760,LG05,5496922,40,
11767,LG06,1575584,42,
11781,LG20,6951613,42,
11785,LG11,14005951,23,
11787,LG16,8543987,24,
11795,LG16,751001,40,
11797,LG09,9434293,24,
11798,LG14,24906321,24,
11800,LG17,4126452,42,
11801,LG14,2519559,42,
11811,LG19,9563780,40,
11813,LG06,16314274,42,
11828,LG19,12738375,42,
11830,LG03,22682899,42,
11833,LG03,15406409,42,
11841,LG10,16892823,42,
11849,LG08,22454361,42,
11859,LG16,27383866,42,
11873,LG15,2168412,42,
11892,LG11,4071911,42,
11909,LG21,9767819,42,
11915,LG20,4368395,40,
11916,LG13,23629777,23,
11928,LG15,25017446,40,
11929,LG05,14410867,24,
11933,LG15,20811373,40,
11934,LG21,11470271,42,
11937,LG07,26908292,40,
11958,LG20,9207991,23,
11960,LG18,3184422,40,
11965,LG05,17220499,23,
11988,LG02,820204,42,
11998,LG14,27129809,40,
11999,LG08,9600422,24,
12009,LG10,22275915,23,
12013,LG18,11371809,24,
12031,LG07,27314143,42,
12032,LG14,19367777,42,
12037,LG13,25602965,21,YT:Z:UU
12042,LG07,26600311,40,
12043,LG12,1776134,42,
12051,LG16,28107300,42,
12054,LG02,14858975,42,
12057,LG01,3302175,42,
12060,LG12,8148071,40,
12061,LG15,18613652,42,
12062,LG17,13674760,40,
12067,LG20,8137053,40,
12069,LG02,18018124,42,
12076,LG12,26634551,23,
12080,LG13,7840127,42,
12086,LG14,2527622,42,
12088,LG16,15565529,42,
12097,LG20,855117,42,
12101,LG06,17106821,23,
12110,LG06,6779540,42,
12111,LG23,9997741,42,
12113,LG01,907741,42,
12115,LG04,23260771,40,
12116,LG12,17033098,42,
12119,LG04,32123172,24,
12126,LG11,21490667,42,
12128,LG22,8468411,40,
12133,LG12,2948885,42,
12136,LG03,28714949,42,
12147,LG04,18612120,42,
12149,LG02,21189321,42,
12151,LG12,8128082,23,
12163,LG22,94477,40,
12167,LG14,19729102,42,
12171,LG12,6667403,23,
12176,LG06,16294801,40,
12186,LG23,12601788,42,
12187,LG09,15355540,42,
12195,LG07,27817675,42,
12196,LG12,2717738,42,
12197,LG09,2484464,42,
12198,LG09,10421002,42,
12199,LG23,3548982,24,
12207,LG03,8258608,24,
12214,LG10,8871717,22,YT:Z:UU
12224,LG18,11371947,42,
12247,LG09,16752731,24,
12250,LG19,17914326,23,
12252,LG03,23860880,40,
12257,LG19,1364173,42,
12262,LG02,14384132,42,
12286,LG03,19125456,24,
12293,LG15,5039497,11,YT:Z:UU
12314,LG21,7827381,42,
12322,LG20,8995709,40,
12326,LG04,31951552,42,
12331,LG03,16530197,40,
12334,LG18,9156806,42,
12339,LG13,14729598,42,
12340,LG09,10266318,40,
12343,LG04,5540636,42,
12346,LG15,22345534,40,
12347,LG02,1753113,24,
12353,LG11,1323218,42,
12363,LG22,12325815,42,
12366,LG02,12116786,42,
12372,LG07,17060158,40,
12373,LG06,5825228,42,
12377,LG05,9376233,42,
12381,LG08,12556425,22,YT:Z:UU
12390,LG08,14775517,42,
12394,LG09,10266180,42,
12398,LG01,7923920,40,
12402,LG21,8664788,42,
12404,LG05,4642735,42,
12408,LG13,13185724,42,
12410,LG16,17552790,40,
12419,LG23,1105663,23,
12434,LG11,7562174,42,
12437,LG12,6182573,40,
12450,LG01,7799140,42,
12466,LG04,5624415,42,
12469,LG12,20249418,42,
12473,LG12,24393743,40,
12480,LG18,11634363,23,
12496,LG23,6697755,42,
12507,LG23,8197999,42,
12508,LG08,11093206,42,
12509,LG16,27787784,40,
12513,LG03,714072,40,
12516,LG20,1297413,42,
12518,LG11,6504285,42,
12538,LG01,9329019,24,
12543,LG03,24368305,24,
12546,LG16,17738218,24,
12549,LG01,10924719,42,
12553,LG20,13585141,42,
12564,LG01,23280707,40,
12566,LG10,13448653,42,
12569,LG14,19332362,42,
12577,LG15,25165052,40,
12583,LG07,20991528,24,
12584,LG06,4294068,42,
12592,LG09,5313858,23,
12594,LG16,8756249,42,
12596,LG02,7893070,23,
12597,LG06,7008118,24,
12598,LG16,25077232,42,
12609,LG17,4207630,23,
12615,LG11,20525096,24,
12617,LG12,17862887,42,
12628,LG20,16666100,40,
12630,LG05,15083185,40,
12631,LG15,17146470,42,
12642,LG13,18465339,23,
12649,LG23,8032348,25,YT:Z:UU
12651,LG01,21875365,42,
12654,LG05,10902425,40,
12657,LG19,12593696,40,
12658,LG02,5142056,42,
12659,LG08,7162799,40,
12669,LG03,14976049,42,
12676,LG19,12751548,24,
12678,LG01,26270650,23,
12680,LG17,15741096,42,
12681,LG10,14084656,40,
12685,LG15,23383304,42,
12701,LG05,12942521,40,
12707,LG23,7156359,42,
12712,LG09,6436561,42,
12719,LG05,5100690,42,
12722,LG18,13752109,42,
12723,LG22,17734681,23,
12735,LG03,26546024,40,
12741,LG03,17820980,42,
12747,LG09,16518082,24,
12751,LG04,3003150,40,
12753,LG01,17894333,42,
12760,LG01,8383158,40,
12769,LG18,22541017,24,
12773,LG07,13368880,42,
12782,LG03,17599367,42,
12796,LG13,14958633,42,
12798,LG01,16014718,24,
12803,LG14,4639051,42,
12807,LG05,23756830,42,
12808,LG10,11847796,42,
12811,LG17,9348099,42,
12813,LG07,11977671,23,
12822,LG09,19949567,42,
12826,LG11,25588514,24,
12829,LG03,20500321,42,
12830,LG13,18887343,40,
12832,LG21,21326837,40,
12835,LG16,670370,42,
12851,LG18,12117270,23,
12861,LG11,24925351,42,
12864,LG18,13472201,42,
12870,LG13,22179814,23,
12872,LG05,23305723,23,
12875,LG16,20463810,42,
12882,LG07,10503857,42,
12885,LG01,23209262,24,
12886,LG01,13203319,42,
12891,LG10,12526212,23,
12901,LG03,19837311,42,
12905,LG10,5590460,40,
12907,LG16,24748163,42,
12913,LG07,6289192,23,
12918,LG06,6089477,42,
12926,LG15,11097795,23,
12928,LG13,3584634,23,
12932,LG06,15013312,23,
12937,LG13,17508822,24,
12946,LG18,20235707,42,
12948,LG12,10625088,24,
12960,LG16,2319310,42,
12963,LG11,13376613,40,
12968,LG19,15288790,42,
12977,LG17,6882621,42,
12980,LG04,25477234,40,
12981,LG05,23531109,40,
12992,LG14,445417,42,
13007,LG20,18123036,40,
13014,LG16,30901231,42,
13016,LG12,11313784,42,
13026,LG14,1300871,42,
13038,LG14,25158945,42,
13040,LG23,8664373,40,
13045,LG01,22598176,42,
13058,LG15,25877718,24,
13066,LG12,7731996,42,
13068,LG05,21240187,40,
13084,LG09,16123768,42,
13092,LG16,9342082,42,
13104,LG21,9619940,42,
13106,LG03,13761729,40,
13108,LG19,2930535,42,
13112,LG18,7040279,40,
13113,LG01,12222570,42,
13117,LG16,29421482,42,
13127,LG18,3780208,40,
13128,LG04,34008077,42,
13131,LG14,2593071,24,
13134,LG07,7375357,42,
13139,LG16,10109648,40,
13143,LG06,8949504,42,
13153,LG06,17746245,42,
13154,LG13,197152,42,
13162,LG07,545949,33,YT:Z:UU
13164,LG09,293220,23,
13167,LG08,14512914,40,
13169,LG14,11822336,42,
13186,LG20,9359812,37,YT:Z:UU
13188,LG03,17439369,42,
13197,LG19,11834425,23,
13202,LG15,8387655,42,
13205,LG16,6622274,42,
13212,LG15,24471470,42,
13213,LG22,4982929,42,
13218,LG16,25723400,24,
13225,LG05,5100552,42,
13230,LG16,13642253,42,
13232,LG15,22320693,40,
13236,LG13,20998494,42,
13239,LG19,12593558,42,
13256,LG13,4520679,42,
13265,LG03,8741004,24,
13270,LG12,21233017,42,
13281,LG17,12432483,42,
13291,LG19,19507563,23,
13299,LG14,9796731,42,
13301,LG12,18405009,40,
13302,LG13,13876474,42,
13304,LG21,17671129,40,
13318,LG10,20106301,42,
13321,LG08,11504786,40,
13322,LG08,21563883,42,
13324,LG19,14280573,42,
13328,LG16,12409743,42,
13329,LG07,4878622,40,
13337,LG14,7935605,40,
13343,LG01,17000274,24,
13347,LG02,13817264,42,
13348,LG19,9960693,42,
13355,LG13,7924478,42,
13357,LG13,8670919,40,
13358,LG20,10178813,23,
13361,LG01,26270788,42,
13364,LG03,16947823,42,
13385,LG10,12697932,40,
13386,LG05,19910398,23,
13390,LG03,5379523,42,
13392,LG23,15902903,42,
13399,LG15,12018281,40,
13404,GmG20150304_scaffold_9600,34682,24,
13406,LG09,5702023,40,
13409,LG15,16419627,42,
13420,LG17,17074062,40,
13423,LG06,3570739,42,
13428,LG21,3843338,40,
13439,LG05,14410729,42,
13440,LG20,4684573,24,
13457,LG20,15520229,42,
13460,LG03,5576061,24,
13464,LG12,7476651,42,
13465,LG17,15662747,42,
13467,LG13,16794791,40,
13486,LG11,9770660,42,
13488,LG13,23112652,42,
13497,LG19,9585078,42,
13512,LG01,28259281,24,
13520,LG08,22450328,42,
13521,LG03,24934533,42,
13524,LG07,20916719,42,
13537,LG18,21570572,42,
13556,LG20,8795426,42,
13557,LG13,11333555,42,
13558,LG16,22765517,24,
13564,LG09,17364891,24,
13566,LG05,14406797,42,
13570,LG20,6528339,42,
13572,LG12,11817874,42,
13575,LG16,17439433,42,
13581,LG21,11589032,42,
13586,LG19,5954213,42,
13591,LG01,21919693,42,
13625,LG09,8579959,42,
13645,LG20,4500817,42,
13661,LG19,12254627,42,
13665,LG13,13975661,39,YT:Z:UU
13669,LG09,23611872,23,
13674,LG05,15599004,42,
13679,LG14,6875967,40,
13710,LG10,706291,40,
13712,LG17,8854467,42,
13719,LG10,997374,42,
13720,LG07,16282125,40,
13721,LG09,4886907,42,
13722,LG06,7517417,42,
13723,LG20,2574175,40,
13724,LG17,13948333,40,
13727,LG22,9591533,40,
13730,LG11,24180454,24,
13734,LG08,1137906,42,
13737,LG11,25411026,42,
13752,LG22,12059848,40,
13755,LG18,22110953,40,
13756,LG15,26241988,24,
13757,LG06,9604337,42,
13765,LG11,24180316,42,
13770,LG22,20149074,42,
13774,LG11,6821908,42,
13779,LG01,3829151,18,YT:Z:UU
13780,LG16,14420852,24,
13787,LG09,19807821,40,
13794,LG21,6057068,24,
13800,LG14,10787106,23,
13802,LG21,20827935,24,
13807,LG01,4712945,24,
13811,LG16,13507600,23,
13826,LG07,12471120,24,
13827,LG12,11897559,40,
13828,LG20,1842663,42,
13829,LG15,3509678,40,
13835,LG06,20828143,23,
13841,LG09,16137299,42,
13846,LG14,23110841,42,
13849,LG22,8484764,24,
13852,LG08,19384025,23,
13863,LG16,6622136,42,
13865,LG06,20324975,42,
13867,LG20,21117570,42,
13873,LG22,20639374,42,
13877,LG05,4212330,22,YT:Z:UU
13879,LG07,23997649,24,
13881,LG23,4802743,42,
13887,LG20,15345756,42,
13898,LG16,23940402,24,
13900,GmG20150304_scaffold_9641,25332,24,
13917,LG09,141874,42,
13920,LG16,15309571,42,
13921,LG22,16864809,40,
13922,LG07,17424059,40,
13931,LG11,20090903,42,
13932,GmG20150304_scaffold_6317,8694,24,
13934,LG04,5000575,42,
13936,LG06,10832003,23,
13941,LG19,2649196,42,
13942,LG13,7127442,40,
13949,LG01,3282742,42,
13955,LG17,12499539,24,
13962,LG04,22496035,24,
13972,LG18,8911474,42,
13989,LG14,15837665,42,
14016,LG02,21558517,42,
14019,LG08,13129135,23,
14022,LG03,26777073,42,
14023,LG02,21631430,42,
14025,LG04,18698446,42,
14026,LG15,12584161,40,
14027,LG03,28067721,42,
14034,LG22,7681912,42,
14036,LG16,4683917,22,YT:Z:UU
14041,LG07,17381314,42,
14044,LG21,14128823,42,
14047,LG03,21785068,40,
14054,LG09,3356505,40,
14055,LG05,6441090,42,
14056,LG18,12487255,42,
14078,LG04,13820960,24,
14079,LG15,13155930,40,
14090,LG10,16803171,40,
14097,LG02,18251157,42,
14099,LG15,8836189,24,
14100,LG11,27881812,40,
14111,LG13,788032,42,
14114,LG19,5644780,42,
14119,LG09,17881977,42,
14124,LG01,21234002,42,
14135,LG06,3819593,42,
14154,LG23,20521916,40,
14155,LG22,14345474,40,
14163,LG10,2919447,42,
14168,LG06,2025517,42,
14170,LG07,30202832,42,
14174,LG23,9619657,40,
14185,LG19,10208021,40,
14191,LG21,18287173,23,
14193,LG06,4863382,24,
14197,LG03,20885839,42,
14198,LG10,24531090,42,
14201,LG07,13545769,42,
14202,LG18,20610712,40,
14204,LG17,9854101,23,
14205,LG14,1546579,24,
14207,LG22,4290629,40,
14212,LG11,24407382,40,
14216,LG02,8606584,42,
14228,LG07,9537945,40,
14249,LG20,12525901,40,
14250,LG08,4167693,35,YT:Z:UU
14256,LG14,14581519,40,
14259,LG22,405760,40,
14260,LG14,10720765,42,
14266,LG05,8434615,40,
14271,LG23,3145700,40,
14276,LG22,14702176,23,
14278,LG04,18843058,42,
14291,LG15,23235641,23,
14309,LG08,4819117,42,
14314,LG17,10091715,40,
14316,LG09,20338324,42,
14318,LG02,22920447,23,
14321,LG11,5530560,42,
14327,LG09,7455504,42,
14331,LG07,11798152,11,YT:Z:UU
14333,LG01,9122443,24,
14338,LG14,10262039,40,
14343,LG17,4393482,42,
14344,LG19,19801598,42,
14368,LG03,7494973,24,
14399,LG14,8562765,42,
14411,LG13,15993751,23,
14412,LG16,23792477,24,
14422,LG16,9046381,40,
14423,LG14,12377368,42,
14426,LG13,19868403,23,
14434,LG23,15741862,23,
14440,LG20,20099646,42,
14447,LG13,19821678,40,
14448,LG02,3068749,40,
14460,LG21,20674646,40,
14463,LG20,13580490,24,
14467,LG18,19225768,40,
14471,LG23,8352591,42,
14474,LG02,5175030,42,
14475,LG07,4571809,40,
14476,LG03,27851318,40,
14478,LG11,13818187,40,
14496,LG09,10899818,42,
14504,LG02,11144906,42,
14515,LG03,11820708,40,
14518,LG20,21361032,24,
14523,LG19,19086752,42,
14525,LG05,14338029,24,
14526,LG18,11175099,40,
14530,LG22,11598388,24,
14531,LG19,11994410,42,
14534,LG07,12668629,42,
14551,LG08,20651158,42,
14555,LG06,7530315,24,
14557,LG10,18594152,42,
14558,LG12,8128215,42,
14564,LG10,15663397,42,
14565,LG11,8774516,42,
14572,LG12,6450157,40,
14579,LG08,7070777,40,
14587,LG06,11723588,23,
14589,LG11,11184715,42,
14594,LG21,7743800,42,
14596,LG15,19711872,42,
14612,LG11,4509557,40,
14618,LG20,8309667,23,
14622,LG19,15166467,23,
14648,LG19,20446706,42,
14649,LG22,4547072,42,
14662,LG08,8912517,42,
14669,LG10,16344912,42,
14672,LG23,8708221,42,
14679,LG11,5578987,42,
14686,LG18,15404441,42,
14690,LG06,5825366,40,
14703,LG01,23464550,24,
14704,LG12,5768124,42,
14710,LG09,6912924,42,
14712,LG12,4808032,42,
14715,LG16,22293396,42,
14716,LG19,20697317,24,
14721,LG23,9283163,40,
14735,LG18,18731251,40,
14747,LG14,5181750,42,
14756,LG18,19412597,42,
14759,LG04,27604782,42,
14762,LG03,20582161,40,
14766,LG01,6363572,42,
14778,LG17,10830659,42,
14780,LG07,19930177,42,
14781,LG01,1020395,42,
14782,LG02,8608560,42,
14783,LG10,15260066,42,
14784,LG16,23745057,23,
14789,LG01,7286881,42,
14797,LG18,18337469,42,
14817,LG01,7489921,40,
14822,LG15,5888273,42,
14841,LG20,22046337,40,
14844,LG11,27131782,40,
14845,LG09,12264460,40,
14848,LG05,13640918,42,
14853,LG02,14251848,23,
14854,LG21,5307405,42,
14855,LG21,18364301,42,
14861,LG10,14212835,40,
14871,LG18,1928483,42,
14873,LG21,5501973,42,
14874,LG15,21253069,42,
14875,LG14,12142856,42,
14876,LG21,5491855,42,
14883,LG03,898910,42,
14884,LG22,5671030,23,
14885,LG04,24720070,42,
14901,LG11,19828110,24,
14918,LG20,10902689,40,
14927,LG05,11546655,42,
14931,LG03,11769363,42,
14938,LG01,20244513,23,
14943,LG15,18062209,42,
14945,LG22,16926735,23,
14948,LG04,33941281,40,
14956,LG16,3482746,22,YT:Z:UU
14976,LG05,16268937,42,
14980,LG06,6642464,42,
14991,GmG20150304_scaffold_7380,5131,40,
14999,LG12,24069610,42,
15007,LG09,11581978,42,
15009,LG11,23037238,42,
15016,LG09,6468100,42,
15019,LG15,17483450,42,
15025,LG05,2500594,42,
15032,GmG20150304_scaffold_9439,63930,11,YT:Z:UU
15033,LG18,19946164,40,
15034,LG23,1250943,23,
15039,LG05,18979819,42,
15042,LG02,11040030,40,
15043,LG06,10791952,42,
15045,LG15,21484404,24,
15074,LG20,13226692,40,
15079,GmG20150304_scaffold_8626,4019,12,YT:Z:UU
15087,LG14,1008529,42,
15093,LG09,184407,21,YT:Z:UU
15097,LG02,9912739,42,
15100,LG23,19944339,42,
15105,LG18,4665149,23,
15111,LG18,1896621,42,
15112,LG11,12027917,24,
15113,LG06,6638277,42,
15122,LG09,7267928,42,
15125,LG09,16189035,40,
15132,LG22,6942002,24,
15137,LG19,16515016,42,
15139,LG08,26153250,24,
15142,LG16,17578391,40,
15144,LG10,4566141,23,
15150,LG04,25103844,42,
15151,LG20,15153209,42,
15154,LG15,26370711,40,
15160,LG14,27104470,42,
15163,LG01,10870090,42,
15167,LG07,823288,40,
15173,LG04,19538501,21,YT:Z:UU
15182,LG07,21003228,40,
15183,LG12,5579193,40,
15186,LG12,19259257,23,
15197,LG23,4041102,23,
15203,LG20,23656617,42,
15205,LG16,28468562,22,YT:Z:UU
15207,LG13,8039402,23,
15211,LG01,8990063,42,
15213,LG03,24849590,24,
15225,LG05,12848420,42,
15240,LG12,21289173,23,
15258,LG16,20027408,24,
15260,LG16,15714961,24,
15263,LG22,19067320,42,
15275,LG01,16350847,40,
15279,LG08,6824571,42,
15280,LG19,189291,40,
15288,LG18,7531815,42,
15290,LG11,27938676,42,
15292,LG20,24065466,24,
15296,LG15,12309851,42,
15306,LG01,20310463,24,
15313,LG23,5975165,40,
15320,LG12,25185115,40,
15322,LG05,6318790,42,
15324,LG19,13824086,24,
15325,LG09,17876386,23,
15328,LG22,14098901,23,
15335,LG19,7169435,23,
15338,LG20,6786084,42,
15353,LG23,9068386,42,
15364,LG21,7325771,23,
15366,LG21,7608312,42,
15367,LG03,19138793,23,
15379,LG15,8529809,42,
15386,LG03,20492501,42,
15412,LG01,17374038,42,
15415,LG17,6752963,42,
15438,LG04,17189045,40,
15445,LG03,2324515,22,YT:Z:UU
15446,LG16,9680656,42,
15453,LG01,26825871,40,
15455,LG03,29283826,42,
15462,LG07,11782799,40,
15469,LG10,13296377,42,
15480,LG21,1690404,42,
15486,LG23,12977303,40,
15487,LG13,19559787,24,
15490,LG21,18280862,42,
15491,LG03,10440445,42,
15493,LG03,7238280,42,
15494,LG08,16932084,42,
15501,LG08,4711905,42,
15509,LG04,26630968,40,
15514,LG05,11755143,42,
15518,LG13,5583437,42,
15524,LG14,9216980,40,
15553,LG23,17115515,42,
15555,LG10,24286520,40,
15556,LG04,29472706,42,
15560,LG12,18326476,42,
15567,LG01,21515331,42,
15571,LG04,8899584,26,YT:Z:UU
15577,LG05,20250918,42,
15582,LG21,18063310,24,
15584,LG21,20400508,40,
15585,LG11,20852400,42,
15587,LG07,12076536,23,
15588,LG15,10787720,40,
15613,LG03,6574514,42,
15620,LG09,16693616,42,
15622,LG23,11428544,42,
15627,LG22,19646943,42,
15642,LG15,9190582,42,
15644,LG16,12964493,23,
15653,LG15,24621425,40,
15657,LG09,3013547,42,
15658,LG08,8305901,42,
15663,LG09,10251532,40,
15665,LG08,13518012,40,
15673,LG14,1212133,17,YT:Z:UU
15675,LG11,9208947,42,
15685,LG03,7703855,40,
15687,LG20,12544988,40,
15691,LG11,4864436,24,
15692,LG07,23331870,24,
15693,LG22,19417923,42,
15703,LG23,10509126,42,
15709,LG08,4941063,40,
15734,LG04,22949394,42,
15737,LG14,9813629,42,
15738,LG01,5978203,24,
15744,LG23,8745902,42,
15751,LG17,7836373,42,
15758,LG23,15690664,11,YT:Z:UU
15766,LG10,19765247,42,
15767,LG15,12290269,42,
15772,LG07,21289349,42,
15777,LG08,138686,23,
15782,LG18,9852260,40,
15789,LG11,3234999,42,
15799,LG10,9631682,42,
15802,LG06,16843589,40,
15808,LG14,24287037,42,
15810,LG01,14215183,42,
15814,LG09,19422839,40,
15815,LG19,4279723,23,
15832,LG03,3136761,40,
15846,LG02,10652296,40,
15851,LG03,8019186,42,
15859,LG12,10534130,40,
15865,LG16,6196102,42,
15874,LG13,18417056,40,
15889,LG21,9976546,42,
15891,LG12,17446219,40,
15894,LG05,2585469,42,
15896,LG02,4544274,23,
15897,LG06,9809615,23,
15910,LG07,20502522,23,
15917,LG15,17178150,42,
15918,LG05,22307669,40,
15920,LG13,10070353,23,
15925,LG12,12661397,24,
15932,LG23,3906293,14,YT:Z:UU
15937,LG15,18797955,42,
15939,LG07,27583553,42,
15940,LG14,5878018,42,
15941,LG21,10029788,23,
15946,LG06,22281429,24,
15955,LG01,17478244,42,
15957,LG22,12709394,42,
15971,LG15,3946906,42,
15972,LG20,9073013,40,
15976,LG18,16279465,42,
15979,LG18,16148201,42,
15988,LG04,14767734,23,
15995,LG11,5328386,40,
15996,LG13,9438702,42,
16013,LG09,13705324,40,
16022,LG11,15651224,42,
16033,LG15,14334435,42,
16059,LG18,17533914,42,
16061,LG18,8484982,42,
16064,LG20,1610166,42,
16076,LG22,138954,42,
16089,LG22,4572970,24,
16096,LG17,10579288,24,
16111,LG07,21890248,23,
16114,LG21,15321899,42,
16122,LG10,1560210,24,
16126,LG13,1620642,42,
16129,LG23,20456164,42,
16130,LG04,18616085,24,
16152,LG06,5938780,40,
16158,LG11,12027779,23,
16159,LG23,18467308,23,
16160,LG17,17473756,42,
16171,LG09,19262015,23,
16172,LG07,27651203,42,
16178,LG10,23202414,23,
16182,LG04,21931459,37,YT:Z:UU
16186,LG02,5502143,42,
16188,LG11,25359815,42,
16195,LG11,17498352,24,
16197,LG05,17929251,42,
16204,LG14,17685000,42,
16205,LG04,21476532,40,
16208,LG03,8053761,40,
16212,LG05,23804452,42,
16233,LG20,12777806,40,
